"Информация о тендере","Номер тендера","Регион","Место поставки","Заказчик","ИНН","Тип закупки","Способ размещения","Дата публикации","Дата окончания (МСК)","Начальная цена, руб","Обеспечение контракта, руб","Аванс","Ссылка на источник","Отрасли"
"Приобретение (долевое участие в строительстве) квартиры для детей сирот","60626342","Астраханская область","г. Астрахань","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ АСТРАХАНСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ ПО КАПИТАЛЬНОМУ СТРОИТЕЛЬСТВУ АСТРАХАНСКОЙ ОБЛАСТИ""","","44-ФЗ","Электронные аукционы","03.06.2022","14.06.2022 8:00","1,813,861","181,386","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0325200006722000111","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение (долевое участие в строительстве) квартиры для детей сирот","60626339","Астраханская область","г. Астрахань","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ АСТРАХАНСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ ПО КАПИТАЛЬНОМУ СТРОИТЕЛЬСТВУ АСТРАХАНСКОЙ ОБЛАСТИ""","","44-ФЗ","Электронные аукционы","03.06.2022","15.06.2022 8:00","1,813,861","181,386","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0325200006722000114","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение (долевое участие в строительстве) квартиры для детей сирот","60626346","Астраханская область","г. Астрахань","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ АСТРАХАНСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ ПО КАПИТАЛЬНОМУ СТРОИТЕЛЬСТВУ АСТРАХАНСКОЙ ОБЛАСТИ""","","44-ФЗ","Электронные аукционы","03.06.2022","14.06.2022 8:00","1,813,861","181,386","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0325200006722000112","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение (долевое участие в строительстве) квартиры для детей сирот","60626344","Астраханская область","г. Астрахань","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ АСТРАХАНСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ ПО КАПИТАЛЬНОМУ СТРОИТЕЛЬСТВУ АСТРАХАНСКОЙ ОБЛАСТИ""","","44-ФЗ","Электронные аукционы","03.06.2022","14.06.2022 8:00","1,813,861","181,386","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0325200006722000113","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение квартир на первичном рынке у застройщика в строящемся многоквартирном жилом доме  для предоставления жителям аварийного фонда по программе ""Переселение граждан из аварийного жилого фонда на территории Нижегородской области на 2019-2023 годы""","60626281","Нижегородская область","г. Чкаловск","АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ГОРОД ЧКАЛОВСК НИЖЕГОРОДСКОЙ ОБЛАСТИ","5236003643","44-ФЗ","Электронные аукционы","03.06.2022","14.06.2022 8:00","8,846,500","","50%","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0132300034422000058","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение у застройщика жилого помещения в собственность муниципального образования ""Город Курск"" посредством участия в долевом строительстве многоквартирного жилого дома для предоставления гражданам, переселяемым из аварийного жилищного фонда","60625939","Курская область","г. Курск","КОМИТЕТ ПО УПРАВЛЕНИЮ МУНИЦИПАЛЬНЫМ ИМУЩЕСТВОМ ГОРОДА КУРСКА","","44-ФЗ","Электронные аукционы","03.06.2022","14.06.2022 9:00","2,820,000","","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0744200000222004570","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение у застройщика жилого помещения в собственность муниципального образования ""Город Курск"" посредством участия в долевом строительстве многоквартирного жилого дома для предоставления гражданам, переселяемым из аварийного жилищного фонда","60625657","Курская область","г. Курск","КОМИТЕТ ПО УПРАВЛЕНИЮ МУНИЦИПАЛЬНЫМ ИМУЩЕСТВОМ ГОРОДА КУРСКА","4632001084","44-ФЗ","Электронные аукционы","03.06.2022","14.06.2022 9:00","4,647,200","","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0744200000222004571","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение у застройщика жилого помещения в собственность муниципального образования ""Город Курск"" посредством участия в долевом строительстве многоквартирного жилого дома для предоставления гражданам, переселяемым из аварийного жилищного фонда","60625628","Курская область","г. Курск","КОМИТЕТ ПО УПРАВЛЕНИЮ МУНИЦИПАЛЬНЫМ ИМУЩЕСТВОМ ГОРОДА КУРСКА","4632001084","44-ФЗ","Электронные аукционы","03.06.2022","14.06.2022 9:00","2,823,200","","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0744200000222004569","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение у застройщика жилого помещения в собственность муниципального образования ""Город Курск"" посредством участия в долевом строительстве многоквартирного жилого дома для предоставления гражданам, переселяемым из аварийного жилищного фонда","60625627","Курская область","г. Курск","КОМИТЕТ ПО УПРАВЛЕНИЮ МУНИЦИПАЛЬНЫМ ИМУЩЕСТВОМ ГОРОДА КУРСКА","4632001084","44-ФЗ","Электронные аукционы","03.06.2022","14.06.2022 9:00","4,736,800","","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0744200000222004573","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение в муниципальную собственность благоустроенного жилого помещения, для граждан, переселяемых из аварийного жилищного фонда в городе Гуково","60623489","Ростовская область","г. Гуково","МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА ГУКОВО ""УПРАВЛЕНИЕ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА И ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА"" МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОД ГУКОВО""","6144020841","44-ФЗ","Электронные аукционы","03.06.2022","15.06.2022 9:36","1,220,482","122,048","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0858300003222000154","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Выполнение работ по капитальному ремонту производственной площадки локализации производства радиологического диагностического оборудования на мощностях АО НИИТФА","60613579","Москва город","Москва","АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ТЕХНИЧЕСКОЙ ФИЗИКИ И АВТОМАТИЗАЦИИ""","7726606316","223-ФЗ","Нерегламентированные закупки","03.06.2022","15.06.2022 10:00","98,993,920","","50%","http://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211441178","Полное строительство и реконструкция зданий и сооружений"
"приобретение у застройщика жилого помещения - квартиры путем участия в долевом строительстве многоквартирного жилого дома для детей-сирот и детей, оставшихся без попечения родителей, лиц из числа детей-сирот и детей, оставшихся без попечения родителей","60622183","Красноярский край","Красноярск","ДЕПАРТАМЕНТ ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА КРАСНОЯРСКА","2466216619","44-ФЗ","Электронные аукционы","03.06.2022","15.06.2022 5:00","3,550,187","","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0119300019822000954","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Устройство систем инженерно-технического обеспечения:монтаж наружной теплотрассы для блочно-модульных зданий-2здания; устройство свайного основания для установки блочно-модульных зданий-2здания","60622032","Тюменская область","Тюменский район","ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ТЮМЕНСКОЙ ОБЛАСТИ ""ОБЛАСТНОЙ ЦЕНТР ПРОФИЛАКТИКИ И РЕАБИЛИТАЦИИ""","7224037176","223-ФЗ","Электронные аукционы","03.06.2022","20.06.2022 9:00","2,860,440","","","https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211442127","Полное строительство и реконструкция зданий и сооружений
Мобильные металлические и бетонные сооружения, Мобильные здания"
"приобретение у застройщика жилого помещения - квартиры путем участия в долевом строительстве многоквартирного жилого дома для детей-сирот и детей, оставшихся без попечения родителей, лиц из числа детей-сирот и детей, оставшихся без попечения родителей","60620667","Красноярский край","Красноярск","ДЕПАРТАМЕНТ ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА КРАСНОЯРСКА","2466216619","44-ФЗ","Электронные аукционы","03.06.2022","15.06.2022 5:00","3,550,187","","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0119300019822000953","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Строительство дезбарьера санпропускника","60620499","Тюменская область","Тюменский район, рабочий поселок Боровский","ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПТИЦЕФАБРИКА ""БОРОВСКАЯ"" ИМЕНИ А.А.СОЗОНОВА""","7224008030","223-ФЗ","Нерегламентированные закупки","03.06.2022","13.06.2022 22:00","6,283,599","","","https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211441956","Полное строительство и реконструкция зданий и сооружений"
"Строительство объекта: Школа -детский сад в с. Кировское (второй этап)","60620103","Сахалинская область","Тымовский район, село Кировское","МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""СЛУЖБА ""ЗАКАЗЧИК"""" МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ТЫМОВСКИЙ ГОРОДСКОЙ ОКРУГ""","6517008769","44-ФЗ","Электронные аукционы","03.06.2022","14.06.2022 2:00","24,615,900","1,230,795","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0861600000222000040","Полное строительство и реконструкция зданий и сооружений"
"приобретение у застройщика жилого помещения - квартиры путем участия в долевом строительстве многоквартирного жилого дома для детей-сирот и детей, оставшихся без попечения родителей, лиц из числа детей-сирот и детей, оставшихся без попечения родителей","60619849","Красноярский край","Красноярск","ДЕПАРТАМЕНТ ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА КРАСНОЯРСКА","2466216619","44-ФЗ","Электронные аукционы","03.06.2022","15.06.2022 5:00","3,550,187","","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0119300019822000952","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение (долевое участие в строительстве) квартиры для детей сирот","60619688","Астраханская область","г. Астрахань","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ АСТРАХАНСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ ПО КАПИТАЛЬНОМУ СТРОИТЕЛЬСТВУ АСТРАХАНСКОЙ ОБЛАСТИ""","","44-ФЗ","Электронные аукционы","03.06.2022","14.06.2022 8:00","1,813,861","181,386","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0325200006722000108","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение (долевое участие в строительстве) квартиры для детей сирот","60619705","Астраханская область","г. Астрахань","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ АСТРАХАНСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ ПО КАПИТАЛЬНОМУ СТРОИТЕЛЬСТВУ АСТРАХАНСКОЙ ОБЛАСТИ""","","44-ФЗ","Электронные аукционы","03.06.2022","14.06.2022 8:00","1,813,861","181,386","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0325200006722000106","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение (долевое участие в строительстве) квартиры для детей сирот","60619691","Астраханская область","г. Астрахань","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ АСТРАХАНСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ ПО КАПИТАЛЬНОМУ СТРОИТЕЛЬСТВУ АСТРАХАНСКОЙ ОБЛАСТИ""","","44-ФЗ","Электронные аукционы","03.06.2022","14.06.2022 8:00","1,813,861","181,386","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0325200006722000104","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение (долевое участие в строительстве) квартиры для детей сирот","60619703","Астраханская область","г. Астрахань","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ АСТРАХАНСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ ПО КАПИТАЛЬНОМУ СТРОИТЕЛЬСТВУ АСТРАХАНСКОЙ ОБЛАСТИ""","","44-ФЗ","Электронные аукционы","03.06.2022","14.06.2022 8:00","1,813,861","181,386","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0325200006722000109","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение (долевое участие в строительстве) квартиры для детей сирот","60619692","Астраханская область","г. Астрахань","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ АСТРАХАНСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ ПО КАПИТАЛЬНОМУ СТРОИТЕЛЬСТВУ АСТРАХАНСКОЙ ОБЛАСТИ""","","44-ФЗ","Электронные аукционы","03.06.2022","14.06.2022 8:00","1,813,861","181,386","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0325200006722000105","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение (долевое участие в строительстве) квартиры для детей сирот","60619698","Астраханская область","г. Астрахань","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ АСТРАХАНСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ ПО КАПИТАЛЬНОМУ СТРОИТЕЛЬСТВУ АСТРАХАНСКОЙ ОБЛАСТИ""","","44-ФЗ","Электронные аукционы","03.06.2022","14.06.2022 8:00","1,813,861","181,386","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0325200006722000107","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Выполнение работ на объекте: ""ГУЗ СО ""Базарно-Карабулакская РБ"" строительство поликлиники р.п. Базарный Карабулак (Поликлиника на 400 посещений в смену (320 взрослого и 80 детского населения)","60605568","Саратовская область","Базарно-Карабулакский район, рабочий поселок Базарный Карабулак","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ САРАТОВСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА""","6452131987","44-ФЗ","Электронные аукционы","03.06.2022","10.06.2022 7:00","200,994,951","20,099,495","50%","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0860500000222000017","Полное строительство и реконструкция зданий и сооружений
Проектирование, монтаж и обслуживание сигнализации, пожароохранных, контрольно-пропускных систем и оборудования"
"Строительно-монтажные работы с разработкой рабочей документации по объекту ""Реконструкция стендового испытательного комплекса с проведением мероприятий по обеспечению безопасности предприятия и внедрению современных технологий испытаний перспективных боеприпасов"", Федеральное казенное предприятие ""Национальное испытательное объединение ""Государственные боеприпасные испытательные полигоны России""","60605305","Свердловская область","г. Нижний Тагил","Министерство промышленности и торговли Российской Федерации, в лице федерального казенного предприятия «Национальное испытательное объединение «Государственные боеприпасные испытательные полигоны России»","7705596339, 5023002050","44-ФЗ","Электронные аукционы","03.06.2022","20.06.2022 0:00","146,162,460","","60%","https://zakupki.gov.ru/epz/order/notice/ok20/view/common-info.html?regNumber=0548100000222000001","Полное строительство и реконструкция зданий и сооружений
Проектные работы в области строительства и ремонта зданий, внутридомовых сетей"
"приобретение у застройщика жилого помещения - квартиры путем участия в долевом строительстве многоквартирного жилого дома для детей-сирот и детей, оставшихся без попечения родителей, лиц из числа детей-сирот и детей, оставшихся без попечения родителей","60619279","Красноярский край","Красноярск","ДЕПАРТАМЕНТ ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА КРАСНОЯРСКА","2466216619","44-ФЗ","Электронные аукционы","03.06.2022","14.06.2022 5:00","2,434,016","","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0119300019822000949","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Реконструкция здания по адресу г. Кодинск, ул. Маяковского, 13,ДОР-2022-КЭС","60618417","Красноярский край","г. Кодинск","ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРАСНОЯРСКЭНЕРГОСБЫТ""","2466132221","223-ФЗ","Нерегламентированные закупки","03.06.2022","15.06.2022 11:00","13,000,000","","","https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211441826","Полное строительство и реконструкция зданий и сооружений"
"Участие в долевом строительстве 5 (пяти) квартир в г. Хабаровске","60618028","Хабаровский край","г. Хабаровск","КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""СЛУЖБА ЗАКАЗЧИКА МИНИСТЕРСТВА СТРОИТЕЛЬСТВА ХАБАРОВСКОГО КРАЯ""","2721093076","44-ФЗ","Запросы котировок и предложений","03.06.2022","10.06.2022 12:00","","","","https://zakupki.gov.ru/epz/pricereq/card/common-info.html?priceRequestId=975384","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Выполнение работ по строительству площадок кучного выщелачивания (4 очередь) на месторождении Северное","60617891","Саха /Якутия/ республика","г. Томмот","АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНАЯ КОМПАНИЯ ""ЖЕЛЕЗНЫЕ ДОРОГИ ЯКУТИИ""","1435073060","223-ФЗ","Запросы котировок и предложений","03.06.2022","10.06.2022 8:00","178,508,803","","","https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=14106640","Полное строительство и реконструкция зданий и сооружений"
"Выполнение работ по подготовке проектной документации, выполнение инженерных изысканий, выполнение работ по строительству объекта капитального строительства, поставка оборудования, необходимого для обеспечения эксплуатации объекта ""Строительство врачебной амбулатории, бюджетное учреждение здравоохранения Омской области ""Черлакская центральная районная больница""","60603393","Омская область","с. Южно-Подольск","МИНИСТЕРСТВО СТРОИТЕЛЬСТВА ОМСКОЙ ОБЛАСТИ","5503080121, 5503158829","44-ФЗ","Электронные аукционы","02.06.2022","10.06.2022 6:15","32,219,142","4,832,871","15%","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0152200004722000899","Полное строительство и реконструкция зданий и сооружений
Проектные работы в области строительства и ремонта зданий, внутридомовых сетей
Инженерно-геодезические изыскания, Землеустройство, Картография
Инженерно-геологические и гидрологические изыскания, Разведочное бурение
Инженерно-экологические изыскания"
"Выполнение строительно-монтажных работ по завершению строительства объекта ""Территория микрорайона 31 ""Б"" г. Сургута, представленного под комплексное освоение в целях жилищного строительства. Жилой дом №2"", идентификатор объекта: р-13479","60616250","Ханты-Мансийский Автономный округ - Югра автономный округ","г. Сургут","Фонд защиты прав участников долевого строительства Югры","8601069040","223-ФЗ","Нерегламентированные закупки","02.06.2022","15.06.2022 10:00","692,956,920","","","https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211441570","Полное строительство и реконструкция зданий и сооружений"
"Устройство ритуального домика на кладбище д. Хора -Сирма Вурнарского района Чувашской Республики","60615739","Чувашская - Чувашия республика","Вурнарский район, деревня Хора-Сирма","АДМИНИСТРАЦИЯ ЕРШИПОСИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ ВУРНАРСКОГО РАЙОНА ЧУВАШСКОЙ РЕСПУБЛИКИ","","44-ФЗ","Электронные аукционы","02.06.2022","10.06.2022 8:00","613,670","10%","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0815500000522005508","Полное строительство и реконструкция зданий и сооружений"
"Приобретение у застройщика жилого помещения в собственность муниципального образования ""Город Курск"" посредством участия в долевом строительстве многоквартирного жилого дома для предоставления гражданам, переселяемым из аварийного жилищного фонда","60615539","Курская область","г. Курск","КОМИТЕТ ПО УПРАВЛЕНИЮ МУНИЦИПАЛЬНЫМ ИМУЩЕСТВОМ ГОРОДА КУРСКА","4632001084, 4629026949","44-ФЗ","Электронные аукционы","02.06.2022","10.06.2022 9:00","2,823,200","","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0744200000222004558","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение у застройщика жилого помещения в собственность муниципального образования ""Город Курск"" посредством участия в долевом строительстве многоквартирного жилого дома для предоставления гражданам, переселяемым из аварийного жилищного фонда","60615391","Курская область","г. Курск","КОМИТЕТ ПО УПРАВЛЕНИЮ МУНИЦИПАЛЬНЫМ ИМУЩЕСТВОМ ГОРОДА КУРСКА","4632001084","44-ФЗ","Электронные аукционы","02.06.2022","10.06.2022 9:00","2,823,200","","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0744200000222004561","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение жилого помещения (общей площадью не менее 33 кв.м.) путем участия в долевом строительстве для предоставления детям-сиротам и детям, оставшимся без попечения родителей, а также лицам из их числа по договору специализированного найма","60615275","Брянская область","г. Клинцы","КОМИТЕТ ПО УПРАВЛЕНИЮ ИМУЩЕСТВОМ ГОРОДА КЛИНЦЫ","3203003115","44-ФЗ","Электронные аукционы","02.06.2022","14.06.2022 9:00","2,002,000","20,020","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0127200000222003051","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение жилого помещения (общей площадью не менее 33 кв.м.) путем участия в долевом строительстве для предоставления детям-сиротам и детям, оставшимся без попечения родителей, а также лицам из их числа по договору специализированного найма","60615264","Брянская область","г. Клинцы","КОМИТЕТ ПО УПРАВЛЕНИЮ ИМУЩЕСТВОМ ГОРОДА КЛИНЦЫ","3203003115","44-ФЗ","Электронные аукционы","02.06.2022","14.06.2022 9:00","2,002,000","20,020","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0127200000222003057","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение жилого помещения (общей площадью не менее 33 кв.м.) путем участия в долевом строительстве для предоставления детям-сиротам и детям, оставшимся без попечения родителей, а также лицам из их числа по договору специализированного найма","60615221","Брянская область","г. Клинцы","КОМИТЕТ ПО УПРАВЛЕНИЮ ИМУЩЕСТВОМ ГОРОДА КЛИНЦЫ","3203003115","44-ФЗ","Электронные аукционы","02.06.2022","14.06.2022 9:00","2,002,000","20,020","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0127200000222003054","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение жилого помещения (общей площадью не менее 33 кв.м.) путем участия в долевом строительстве для предоставления детям-сиротам и детям, оставшимся без попечения родителей, а также лицам из их числа по договору специализированного найма","60615144","Брянская область","г. Клинцы","КОМИТЕТ ПО УПРАВЛЕНИЮ ИМУЩЕСТВОМ ГОРОДА КЛИНЦЫ","3203003115","44-ФЗ","Электронные аукционы","02.06.2022","14.06.2022 9:00","2,002,000","20,020","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0127200000222003055","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Выполнение строительно-монтажных работ по завершению строительства объекта ""Территория микрорайона 31 ""Б"" г. Сургута, представленного под комплексное освоение в целях жилищного строительства. Жилой дом №1"", идентификатор объекта: р-12014","60614971","Ханты-Мансийский Автономный округ - Югра автономный округ","г. Сургут","Фонд защиты прав участников долевого строительства Югры","8601069040","223-ФЗ","Нерегламентированные закупки","02.06.2022","15.06.2022 10:00","448,332,790","","","https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211441512","Полное строительство и реконструкция зданий и сооружений"
"Строительство станции обеззараживания и дехлорирования очищенных сточных вод","60613865","Владимирская область","г. Карабаново","АДМИНИСТРАЦИЯ ГОРОДА КАРАБАНОВО АЛЕКСАНДРОВСКОГО РАЙОНА ВЛАДИМИРСКОЙ ОБЛАСТИ","3311015206, 3311019666","44-ФЗ","Электронные аукционы","02.06.2022","11.06.2022 9:00","3,915,550","10%","30%","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0828300008122000036","Полное строительство и реконструкция зданий и сооружений"
"Приобретение квартиры путем участия в долевом строительстве многоквартирного дома в целях реализации Региональной адресной программы ""Переселение граждан из аварийного жилищного фонда в 2018-2024 годах на территории Республики Крым"", утвержденной постановлением Совета министров Республики Крым № 148 от 29 марта 2018 года","60611797","Крым республика","г. Ялта","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ КРЫМ ""УПРАВЛЕНИЕ ПО РЕАЛИЗАЦИИ ПРОГРАММ""","9102193446","44-ФЗ","Электронные аукционы","02.06.2022","14.06.2022 6:00","5,403,252","","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0175200000422000321","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
