Наименование закупки;Идентификационный код закупки;Номер лота;Наименование лота;Начальная (максимальная) цена контракта;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата окончания подачи заявок;
медицинские услуги амбулаторно-поликлинической помощи;'221254010810825400100100070018610244';;;68333.36;RUB;NA;NA;ТЕРРИТОРИАЛЬНЫЙ ОРГАН ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО НАДЗОРУ В СФЕРЕ ЗДРАВООХРАНЕНИЯ ПО ПРИМОРСКОМУ КРАЮ;ТЕРРИТОРИАЛЬНЫЙ ОРГАН ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО НАДЗОРУ В СФЕРЕ ЗДРАВООХРАНЕНИЯ ПО ПРИМОРСКОМУ КРАЮ;26.05.2022;03.06.2022;NA
Поставка ГСМ;'223282700800028270100100140011920244';;;1438977.40;RUB;NA;NA;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ПО ОБСЛУЖИВАНИЮ ЗДАНИЙ И АВТОМОБИЛЬНОГО ТРАНСПОРТА""";АДМИНИСТРАЦИЯ ТАМБОВСКОГО РАЙОНА;27.05.2022;06.06.2022;NA
Оказание услуг по предоставлению 5 парковочных мест для стоянки служебного автотранспорта ;'221272201070027220100100070046820244';;;180000.00;RUB;NA;NA;ГОСУДАРСТВЕННАЯ ИНСПЕКЦИЯ ТРУДА В ХАБАРОВСКОМ КРАЕ;ГОСУДАРСТВЕННАЯ ИНСПЕКЦИЯ ТРУДА В ХАБАРОВСКОМ КРАЕ;24.05.2022;03.06.2022;NA
"Выполнение работ по разработке проектно-сметной документации по объекту: ""Реконструкция плавательного бассейна «Самородок»""";'222143513846114350100102700010000414';;;180000.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""СЛУЖБА ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА РЕСПУБЛИКИ САХА (ЯКУТИЯ)""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ЦЕНТР ЗАКУПОК РЕСПУБЛИКИ САХА (ЯКУТИЯ)""";27.05.2022;03.06.2022;NA
дизельное топливо;;1;дизельное топливо;300000.00;RUB;NA;NA;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""САХАЛИНСКОЕ УПРАВЛЕНИЕ ПО ГИДРОМЕТЕОРОЛОГИИ И МОНИТОРИНГУ ОКРУЖАЮЩЕЙ СРЕДЫ""";;06.06.2022;;NA
Поставка лабораторного оборудования и реактивов для кабинетов химии и биологии;'223270601722527060100100090013299244';;;624221.73;RUB;NA;NA;МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 6 Г. АМУРСКА АМУРСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ХАБАРОВСКОГО КРАЯ;АДМИНИСТРАЦИЯ АМУРСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ХАБАРОВСКОГО КРАЯ;24.05.2022;03.06.2022;NA
Поставка трубной продукции;;1;Поставка трубной продукции;2351144.16;RUB;NA;NA;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ПЕТРОПАВЛОВСК-КАМЧАТСКОГО ГОРОДСКОГО ОКРУГА ""ТЕПЛОЭЛЕКТРОСЕТЕВАЯ КОМПАНИЯ""";;27.05.2022;27.05.2022;NA
Поставка свежих овощей и фруктов;;1;Поставка овощей и фруктов свежих;260402.00;RUB;NA;NA;"МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ ""ЧАУНСКАЯ ТОРГОВАЯ КОМПАНИЯ"" ЧАУНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ЧУКОТСКОГО АВТОНОМНОГО ОКРУГА";;06.06.2022;;NA
Поставка расходных материалов ;;1;Поставка расходных материалов;42695.09;RUB;NA;NA;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ЦЕНТР ГИГИЕНЫ И ЭПИДЕМИОЛОГИИ В МАГАДАНСКОЙ ОБЛАСТИ""";;24.05.2022;06.06.2022;NA
Поставка ткани для мытья пола;;1;Поставка ткани для мытья пола;71113.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ АМУРСКОЙ ОБЛАСТИ ""БЛАГОВЕЩЕНСКАЯ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА""";;25.05.2022;03.06.2022;NA
на оказание услуг, по осуществлению регулярных перевозок пассажиров и багажа автомобильным транспортом по утвержденным регулируемым тарифам на территории Серышевского района;'223282400124628240100100160014931811';;;3350000.00;RUB;NA;NA;АДМИНИСТРАЦИЯ СЕРЫШЕВСКОГО РАЙОНА;АДМИНИСТРАЦИЯ СЕРЫШЕВСКОГО РАЙОНА;23.05.2022;02.06.2022;NA
Поставка продуктов питания (яйца куриные в скорлупе свежие);'222270307643027030100100470010147244';;;50215.00;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КОМСОМОЛЬСКИЙ-НА-АМУРЕ СПЕЦИАЛИЗИРОВАННЫЙ ДОМ РЕБЁНКА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КОМСОМОЛЬСКИЙ-НА-АМУРЕ СПЕЦИАЛИЗИРОВАННЫЙ ДОМ РЕБЁНКА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";23.05.2022;06.06.2022;NA
Индикатор химический;'222253900999125390100100580010000244';;;4680.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ПРИМОРСКИЙ КРАЕВОЙ ПРОТИВОТУБЕРКУЛЕЗНЫЙ ДИСПАНСЕР""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ПРИМОРСКИЙ КРАЕВОЙ ПРОТИВОТУБЕРКУЛЕЗНЫЙ ДИСПАНСЕР""";26.05.2022;03.06.2022;NA
Поставка расходных материалов для ДНК-лаборатории ЭКЦ МВД по Республике Саха (Якутия);'221143525514014350100100640012059244';;;1328600.00;RUB;NA;NA;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ХОЗЯЙСТВЕННОГО И СЕРВИСНОГО ОБЕСПЕЧЕНИЯ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ)""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ХОЗЯЙСТВЕННОГО И СЕРВИСНОГО ОБЕСПЕЧЕНИЯ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ)""";24.05.2022;02.06.2022;NA
Поставка лекарственного препарата для медицинского применения Инсулин деглудек+Инсулин аспарт для обеспечения льготных категорий граждан Хабаровского края;'222272404126027210100104850012120244';;;116128.35;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""МЕДИЦИНСКИЙ ИНФОРМАЦИОННО-АНАЛИТИЧЕСКИЙ ЦЕНТР"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ПРАВИТЕЛЬСТВА ХАБАРОВСКОГО КРАЯ;25.05.2022;02.06.2022;NA
Закупка электротехнических изделий и ламп;'221253610396425360100100240120000244';;;432404.40;RUB;NA;NA;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ  ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ДАЛЬНЕВОСТОЧНЫЙ ГОСУДАРСТВЕННЫЙ ИНСТИТУТ ИСКУССТВ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ  ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ДАЛЬНЕВОСТОЧНЫЙ ГОСУДАРСТВЕННЫЙ ИНСТИТУТ ИСКУССТВ""";20.05.2022;03.06.2022;NA
Инженерное обследование и разработка проектно-сметной документации ;'221753500202475360100100380027112244';;;240000.00;RUB;NA;NA;"ФЕДЕРАЛЬНОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ЧИТИНСКАЯ ПРОТИВОЧУМНАЯ СТАНЦИЯ"" ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО НАДЗОРУ В СФЕРЕ ЗАЩИТЫ ПРАВ ПОТРЕБИТЕЛЕЙ И БЛАГОПОЛУЧИЯ ЧЕЛОВЕКА";"ФЕДЕРАЛЬНОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ЧИТИНСКАЯ ПРОТИВОЧУМНАЯ СТАНЦИЯ"" ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО НАДЗОРУ В СФЕРЕ ЗАЩИТЫ ПРАВ ПОТРЕБИТЕЛЕЙ И БЛАГОПОЛУЧИЯ ЧЕЛОВЕКА";25.05.2022;03.06.2022;NA
Поставка вентиляторов бытовых;'222272702603727030100100450012751244';;;50656.70;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА № 1"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА № 1"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";25.05.2022;03.06.2022;NA
Поставка автошин и комплектующих для нужд филиала ПАО «ТГК-14» Генерация Бурятии ;;1;Поставка автошин и комплектующих для нужд филиала ПАО «ТГК-14» Генерация Бурятии;795355.00;RUB;NA;NA;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕРРИТОРИАЛЬНАЯ ГЕНЕРИРУЮЩАЯ КОМПАНИЯ № 14""";;06.06.2022;01.06.2022;NA
Поверка (калибровка) средств измерений ;'221753500202475360100100510014520244';;;290000.00;RUB;NA;NA;"ФЕДЕРАЛЬНОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ЧИТИНСКАЯ ПРОТИВОЧУМНАЯ СТАНЦИЯ"" ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО НАДЗОРУ В СФЕРЕ ЗАЩИТЫ ПРАВ ПОТРЕБИТЕЛЕЙ И БЛАГОПОЛУЧИЯ ЧЕЛОВЕКА";"ФЕДЕРАЛЬНОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ЧИТИНСКАЯ ПРОТИВОЧУМНАЯ СТАНЦИЯ"" ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО НАДЗОРУ В СФЕРЕ ЗАЩИТЫ ПРАВ ПОТРЕБИТЕЛЕЙ И БЛАГОПОЛУЧИЯ ЧЕЛОВЕКА";26.05.2022;03.06.2022;NA
Поставка вспомогательных медицинских изделий;'223410502276041050100100200010000244';;;91368.70;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ КАМЧАТСКОГО КРАЯ ""ЕЛИЗОВСКАЯ СТАНЦИЯ СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ КАМЧАТСКОГО КРАЯ ""ЕЛИЗОВСКАЯ СТАНЦИЯ СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ""";26.05.2022;03.06.2022;NA
медицинский осмотр работников;'221753500202475360100100250048621244';;;250000.00;RUB;NA;NA;"ФЕДЕРАЛЬНОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ЧИТИНСКАЯ ПРОТИВОЧУМНАЯ СТАНЦИЯ"" ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО НАДЗОРУ В СФЕРЕ ЗАЩИТЫ ПРАВ ПОТРЕБИТЕЛЕЙ И БЛАГОПОЛУЧИЯ ЧЕЛОВЕКА";"ФЕДЕРАЛЬНОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ЧИТИНСКАЯ ПРОТИВОЧУМНАЯ СТАНЦИЯ"" ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО НАДЗОРУ В СФЕРЕ ЗАЩИТЫ ПРАВ ПОТРЕБИТЕЛЕЙ И БЛАГОПОЛУЧИЯ ЧЕЛОВЕКА";27.05.2022;06.06.2022;NA
Поставка наборов химических имитаторов запахов наркотических веществ для дрессировки служебных собак ЦКС МВД по Республике Саха (Якутия);'221143525514014350100100590012059244';;;102500.01;RUB;NA;NA;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ХОЗЯЙСТВЕННОГО И СЕРВИСНОГО ОБЕСПЕЧЕНИЯ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ)""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ХОЗЯЙСТВЕННОГО И СЕРВИСНОГО ОБЕСПЕЧЕНИЯ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ)""";24.05.2022;02.06.2022;NA
На выполнение работ по косметическому ремонту кабинетов № 225, 226 в административном здании по адресу: Республика Саха (Якутия), г. Якутск, ул. Кирова, 11.;'222143509037914350100100100120000244';;;324487.20;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""СЛУЖБА ЭКСПЛУАТАЦИОННО - ТЕХНИЧЕСКОГО ОБЕСПЕЧЕНИЯ""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ЦЕНТР ЗАКУПОК РЕСПУБЛИКИ САХА (ЯКУТИЯ)""";25.05.2022;02.06.2022;NA
"Оказание услуг по подготовке и размещению рекламно-информационных материалов в периодическом печатном издании (газете) для нужд ГБУ РС(Я) ""ЯРНД"" на 2022 год";'222143502749714350100100330010000244';;;154051.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ЯКУТСКИЙ РЕСПУБЛИКАНСКИЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ЦЕНТР ЗАКУПОК РЕСПУБЛИКИ САХА (ЯКУТИЯ)""";25.05.2022;02.06.2022;NA
Благоустройство  территории (капитальный ремонт ограждения)  МБОУ СОШ с. Алексей-Никольское, расположенное по адресу: 692545, Приморский край, г. Уссурийск, с. Алексей-Никольское, ул. Советов, д.31;'223251103889725110100100080024329243';;;5908460.40;RUB;NA;NA;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА С.АЛЕКСЕЙ-НИКОЛЬСКОЕ"" УССУРИЙСКОГО ГОРОДСКОГО ОКРУГА";АДМИНИСТРАЦИЯ УССУРИЙСКОГО ГОРОДСКОГО ОКРУГА;26.05.2022;03.06.2022;NA
Телевизоры;'221272102530127210100100001162640211';;;4072473.00;RUB;NA;NA;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДАЛЬНЕВОСТОЧНОЕ ОКРУЖНОЕ УПРАВЛЕНИЕ МАТЕРИАЛЬНО-ТЕХНИЧЕСКОГО СНАБЖЕНИЯ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДАЛЬНЕВОСТОЧНОЕ ОКРУЖНОЕ УПРАВЛЕНИЕ МАТЕРИАЛЬНО-ТЕХНИЧЕСКОГО СНАБЖЕНИЯ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ""";26.05.2022;03.06.2022;NA
«Устройство колодца под пожарный гидрант, ремонт существующего колодца»;'223410800639741080100100300304322244';;;351596.40;RUB;NA;NA;АДМИНИСТРАЦИЯ ОЗЕРНОВСКОГО ГОРОДСКОГО ПОСЕЛЕНИЯ УСТЬ-БОЛЬШЕРЕЦКОГО МУНИЦИПАЛЬНОГО РАЙОНА;АДМИНИСТРАЦИЯ ОЗЕРНОВСКОГО ГОРОДСКОГО ПОСЕЛЕНИЯ УСТЬ-БОЛЬШЕРЕЦКОГО МУНИЦИПАЛЬНОГО РАЙОНА;25.05.2022;02.06.2022;NA
Ремонт потолка в группе дошкольного образования МОАУ Черновская СОШ им. Н.М. Распоповой;;1;Ремонт потолка в группе дошкольного образования МОАУ Черновская СОШ им. Н.М. Распоповой;116274.00;RUB;NA;NA;"МУНИЦИПАЛЬНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""ЧЕРНОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА  ИМ. Н. М. РАСПОПОВОЙ""";;06.06.2022;;NA
Масло подсолнечное рафинированное;'222253200123125320100100770011041244';;;98020.00;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ХОРОЛЬСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ХОРОЛЬСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";27.05.2022;03.06.2022;NA
"Ремонт автомобильной дороги ""Герба-Омсукчан"" км 46+000 - км 52+260 в Магаданской области";'222490911772649090100100280014211244';;;99978677.80;RUB;NA;NA;"МАГАДАНСКОЕ ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ЭКСПЛУАТАЦИИ И СТРОИТЕЛЬСТВА ДОРОЖНО-ТРАНСПОРТНОГО КОМПЛЕКСА""";"МАГАДАНСКОЕ ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ЭКСПЛУАТАЦИИ И СТРОИТЕЛЬСТВА ДОРОЖНО-ТРАНСПОРТНОГО КОМПЛЕКСА""";26.05.2022;03.06.2022;NA
Поставка наконечник угловой;'222272702628427030100100580013250244';;;44863.30;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ДЕТСКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА № 1"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ДЕТСКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА № 1"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";26.05.2022;06.06.2022;NA
Поставка расходных материалов для гематологического анализатора Erba Elite 3;'222650107349865010100101230012120244';;;95733.83;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ САХАЛИНСКОЙ ОБЛАСТИ ""СИНЕГОРСКАЯ УЧАСТКОВАЯ БОЛЬНИЦА""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ САХАЛИНСКОЙ ОБЛАСТИ ""СИНЕГОРСКАЯ УЧАСТКОВАЯ БОЛЬНИЦА""";30.05.2022;06.06.2022;NA
Оказание услуги по ремонту плазменного стерилизатора STERICOOL A 160S;'222650102556865010100104230013313244';;;211240.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""САХАЛИНСКАЯ ОБЛАСТНАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК САХАЛИНСКОЙ ОБЛАСТИ""";30.05.2022;06.06.2022;NA
Поставка реагентов для определения Д-димера;'222650107349865010100101270012120244';;;26700.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ САХАЛИНСКОЙ ОБЛАСТИ ""СИНЕГОРСКАЯ УЧАСТКОВАЯ БОЛЬНИЦА""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ САХАЛИНСКОЙ ОБЛАСТИ ""СИНЕГОРСКАЯ УЧАСТКОВАЯ БОЛЬНИЦА""";30.05.2022;06.06.2022;NA
Индикаторы для контроля стерилизации;'222253900999125390100100250120000244';;;187340.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ПРИМОРСКИЙ КРАЕВОЙ ПРОТИВОТУБЕРКУЛЕЗНЫЙ ДИСПАНСЕР""";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК ПРИМОРСКОГО КРАЯ""";26.05.2022;03.06.2022;NA
Поставка пробирок для сбора образцов крови;'222650107349865010100101260013250244';;;12090.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ САХАЛИНСКОЙ ОБЛАСТИ ""СИНЕГОРСКАЯ УЧАСТКОВАЯ БОЛЬНИЦА""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ САХАЛИНСКОЙ ОБЛАСТИ ""СИНЕГОРСКАЯ УЧАСТКОВАЯ БОЛЬНИЦА""";30.05.2022;06.06.2022;NA
Поставка пломбировочного материала;'222272702603727030100100420013250244';;;98166.00;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА № 1"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА № 1"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";25.05.2022;03.06.2022;NA
"Выполнение работ по расчистке, укреплению и регулированию ливневых стоков Ручья ""Сухой""";'223251103194025110100101580014312244';;;540110.40;RUB;NA;NA;"МУНИЦИПАЛЬНОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ УССУРИЙСКОГО ГОРОДСКОГО ОКРУГА ""СЛУЖБА ЕДИНОГО ЗАКАЗЧИКА - ЗАСТРОЙЩИКА""";"МУНИЦИПАЛЬНОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ УССУРИЙСКОГО ГОРОДСКОГО ОКРУГА ""СЛУЖБА ЕДИНОГО ЗАКАЗЧИКА - ЗАСТРОЙЩИКА""";30.05.2022;06.06.2022;NA
Поставка реагентов для выполнения лабораторных исследований на гематологическом анализаторе Sysmex XN 1000;'222790000171579010100100930012120244';;;3782741.04;RUB;NA;NA;"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ОБЛАСТНАЯ БОЛЬНИЦА""";"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ОБЛАСТНАЯ БОЛЬНИЦА""";26.05.2022;03.06.2022;NA
